model_name,group,feature_block,best_cv_score_grid,best_params
early__svc__poly3,single_stage_early_mild,early,0.7602941176470589,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
early_late__svc__poly2,two_stage_raw,early_late,0.7772058823529411,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
early_late__lr__elasticnet,two_stage_raw,early_late,0.7713235294117646,"{""clf__C"": 0.03, ""clf__class_weight"": ""balanced"", ""clf__l1_ratio"": 0.25}"
early__svc__sigmoid,single_stage_early_mild,early,0.7779411764705882,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
early__svc__poly2,single_stage_early_mild,early,0.7775735294117647,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
early__lr__l1,single_stage_early_mild,early,0.7599264705882354,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
early_late__svc__sigmoid,two_stage_raw,early_late,0.7599264705882354,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
early__lr__l2,single_stage_early_mild,early,0.7595588235294117,"{""clf__C"": 0.03, ""clf__class_weight"": ""balanced""}"
early__svc__rbf,single_stage_early_mild,early,0.7713235294117646,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
early_late__lr__l1,two_stage_raw,early_late,0.7536764705882353,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
early_late__svc__rbf,two_stage_raw,early_late,0.7536764705882353,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
stage_score_early_late__lr__l2,stage_score_interaction,all,0.7536764705882353,"{""base_C"": 0.03, ""class_weight"": null, ""meta_C"": 1.0}"
early_late__lr__l2,two_stage_raw,early_late,0.7474264705882353,"{""clf__C"": 0.03, ""clf__class_weight"": null}"
stage_activation_summary__svc__rbf,interaction_summary_only,stage_activation_summary,0.7477941176470588,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}"
stage_activation_summary__svc__poly2,interaction_summary_only,stage_activation_summary,0.7470588235294118,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
early__svc__linear,single_stage_early_mild,early,0.7485294117647059,"{""clf__C"": 3.0, ""clf__class_weight"": null}"
stage_activation_summary__svc__poly3,interaction_summary_only,stage_activation_summary,0.7599264705882354,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
early_late__svc__linear,two_stage_raw,early_late,0.7125,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
stage_activation_summary__lr__l2,interaction_summary_only,stage_activation_summary,0.7110294117647058,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
stage_activation_summary__lr__l1,interaction_summary_only,stage_activation_summary,0.6985294117647058,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}"
stage_activation_summary__lr__elasticnet,interaction_summary_only,stage_activation_summary,0.6985294117647058,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__l1_ratio"": 0.25}"
stage_activation_summary__svc__sigmoid,interaction_summary_only,stage_activation_summary,0.6992647058823529,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
stage_activation_summary__svc__linear,interaction_summary_only,stage_activation_summary,0.6933823529411764,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}"
late__svc__poly3,single_stage_late_severe,late,0.6753676470588236,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
late__lr__elasticnet,single_stage_late_severe,late,0.6625,"{""clf__C"": 0.03, ""clf__class_weight"": ""balanced"", ""clf__l1_ratio"": 0.5}"
late__svc__sigmoid,single_stage_late_severe,late,0.6503676470588236,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}"
late__svc__poly2,single_stage_late_severe,late,0.6639705882352941,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}"
late__svc__rbf,single_stage_late_severe,late,0.6757352941176471,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__gamma"": ""scale""}"
late__lr__l2,single_stage_late_severe,late,0.65625,"{""clf__C"": 0.03, ""clf__class_weight"": null}"
late__lr__l1,single_stage_late_severe,late,0.64375,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}"
late__svc__linear,single_stage_late_severe,late,0.6441176470588236,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
