model_name,error_type,n
middle_late__lr__elasticnet,FN_early,1
middle_late__lr__elasticnet,FN_late,1
middle_late__lr__elasticnet,FN_middle,3
middle_late__lr__elasticnet,FP_normal,16
middle_late__lr__elasticnet,correct,48
middle_late__lr__l1,FN_AD_high_MMSE,2
middle_late__lr__l1,FN_early,1
middle_late__lr__l1,FN_late,1
middle_late__lr__l1,FN_middle,4
middle_late__lr__l1,FP_normal,14
middle_late__lr__l1,correct,49
middle_late__lr__l2,FN_AD_high_MMSE,2
middle_late__lr__l2,FN_early,1
middle_late__lr__l2,FN_late,1
middle_late__lr__l2,FN_middle,2
middle_late__lr__l2,FP_normal,12
middle_late__lr__l2,correct,53
middle_late__svc__linear,FN_AD_high_MMSE,1
middle_late__svc__linear,FN_early,1
middle_late__svc__linear,FN_late,1
middle_late__svc__linear,FN_middle,2
middle_late__svc__linear,FP_normal,17
middle_late__svc__linear,correct,49
middle_late__svc__poly2,FN_early,1
middle_late__svc__poly2,FN_late,1
middle_late__svc__poly2,FN_middle,1
middle_late__svc__poly2,FP_normal,13
middle_late__svc__poly2,correct,55
middle_late__svc__poly3,FN_AD_high_MMSE,1
middle_late__svc__poly3,FN_early,1
middle_late__svc__poly3,FN_late,1
middle_late__svc__poly3,FN_middle,1
middle_late__svc__poly3,FP_normal,11
middle_late__svc__poly3,correct,56
middle_late__svc__rbf,FN_AD_high_MMSE,1
middle_late__svc__rbf,FN_early,1
middle_late__svc__rbf,FN_middle,2
middle_late__svc__rbf,FP_normal,12
middle_late__svc__rbf,correct,55
middle_late__svc__sigmoid,FN_AD_high_MMSE,2
middle_late__svc__sigmoid,FN_early,1
middle_late__svc__sigmoid,FN_late,1
middle_late__svc__sigmoid,FN_middle,1
middle_late__svc__sigmoid,FP_normal,15
middle_late__svc__sigmoid,correct,51
middle_late_scale__lr__elasticnet,FN_AD_high_MMSE,1
middle_late_scale__lr__elasticnet,FN_early,1
middle_late_scale__lr__elasticnet,FN_late,1
middle_late_scale__lr__elasticnet,FN_middle,3
middle_late_scale__lr__elasticnet,FP_normal,14
middle_late_scale__lr__elasticnet,correct,51
middle_late_scale__lr__l1,FN_AD_high_MMSE,1
middle_late_scale__lr__l1,FN_early,1
middle_late_scale__lr__l1,FN_late,1
middle_late_scale__lr__l1,FN_middle,4
middle_late_scale__lr__l1,FP_normal,18
middle_late_scale__lr__l1,correct,46
middle_late_scale__lr__l2,FN_AD_high_MMSE,1
middle_late_scale__lr__l2,FN_early,1
middle_late_scale__lr__l2,FN_late,1
middle_late_scale__lr__l2,FN_middle,1
middle_late_scale__lr__l2,FP_normal,13
middle_late_scale__lr__l2,correct,54
middle_late_scale__svc__linear,FN_AD_high_MMSE,1
middle_late_scale__svc__linear,FN_early,1
middle_late_scale__svc__linear,FN_late,1
middle_late_scale__svc__linear,FN_middle,1
middle_late_scale__svc__linear,FP_normal,16
middle_late_scale__svc__linear,correct,51
middle_late_scale__svc__poly2,FN_AD_high_MMSE,1
middle_late_scale__svc__poly2,FN_early,1
middle_late_scale__svc__poly2,FN_late,1
middle_late_scale__svc__poly2,FN_middle,2
middle_late_scale__svc__poly2,FP_normal,12
middle_late_scale__svc__poly2,correct,54
middle_late_scale__svc__poly3,FN_early,1
middle_late_scale__svc__poly3,FN_late,1
middle_late_scale__svc__poly3,FN_middle,1
middle_late_scale__svc__poly3,FP_normal,11
middle_late_scale__svc__poly3,correct,57
middle_late_scale__svc__rbf,FN_AD_high_MMSE,1
middle_late_scale__svc__rbf,FN_early,1
middle_late_scale__svc__rbf,FN_middle,2
middle_late_scale__svc__rbf,FP_normal,13
middle_late_scale__svc__rbf,correct,54
middle_late_scale__svc__sigmoid,FN_AD_high_MMSE,2
middle_late_scale__svc__sigmoid,FN_early,1
middle_late_scale__svc__sigmoid,FN_late,1
middle_late_scale__svc__sigmoid,FN_middle,2
middle_late_scale__svc__sigmoid,FP_normal,14
middle_late_scale__svc__sigmoid,correct,51
mlp_svc_late_calibrated__lr__l2,FN_AD_high_MMSE,1
mlp_svc_late_calibrated__lr__l2,FN_early,1
mlp_svc_late_calibrated__lr__l2,FN_middle,1
mlp_svc_late_calibrated__lr__l2,FP_normal,13
mlp_svc_late_calibrated__lr__l2,correct,55
sequential_interactions__lr__elasticnet,FN_AD_high_MMSE,2
sequential_interactions__lr__elasticnet,FN_early,1
sequential_interactions__lr__elasticnet,FN_late,1
sequential_interactions__lr__elasticnet,FN_middle,3
sequential_interactions__lr__elasticnet,FP_normal,16
sequential_interactions__lr__elasticnet,correct,48
sequential_interactions__lr__l1,FN_AD_high_MMSE,1
sequential_interactions__lr__l1,FN_early,1
sequential_interactions__lr__l1,FN_late,1
sequential_interactions__lr__l1,FN_middle,5
sequential_interactions__lr__l1,FP_normal,16
sequential_interactions__lr__l1,correct,47
sequential_interactions__lr__l2,FN_AD_high_MMSE,1
sequential_interactions__lr__l2,FN_early,1
sequential_interactions__lr__l2,FN_late,1
sequential_interactions__lr__l2,FN_middle,1
sequential_interactions__lr__l2,FP_normal,16
sequential_interactions__lr__l2,correct,51
sequential_interactions__svc__linear,FN_AD_high_MMSE,1
sequential_interactions__svc__linear,FN_early,1
sequential_interactions__svc__linear,FN_middle,1
sequential_interactions__svc__linear,FP_normal,17
sequential_interactions__svc__linear,correct,51
sequential_interactions__svc__poly2,FN_AD_high_MMSE,1
sequential_interactions__svc__poly2,FN_early,1
sequential_interactions__svc__poly2,FN_late,1
sequential_interactions__svc__poly2,FN_middle,2
sequential_interactions__svc__poly2,FP_normal,13
sequential_interactions__svc__poly2,correct,53
sequential_interactions__svc__poly3,FN_AD_high_MMSE,1
sequential_interactions__svc__poly3,FN_early,1
sequential_interactions__svc__poly3,FN_late,1
sequential_interactions__svc__poly3,FN_middle,2
sequential_interactions__svc__poly3,FP_normal,11
sequential_interactions__svc__poly3,correct,55
sequential_interactions__svc__rbf,FN_AD_high_MMSE,3
sequential_interactions__svc__rbf,FN_early,1
sequential_interactions__svc__rbf,FN_late,1
sequential_interactions__svc__rbf,FN_middle,3
sequential_interactions__svc__rbf,FP_normal,10
sequential_interactions__svc__rbf,correct,53
sequential_interactions__svc__sigmoid,FN_early,1
sequential_interactions__svc__sigmoid,FN_late,1
sequential_interactions__svc__sigmoid,FN_middle,2
sequential_interactions__svc__sigmoid,FP_normal,14
sequential_interactions__svc__sigmoid,correct,53
stage_activation_summary__lr__elasticnet,FN_AD_high_MMSE,4
stage_activation_summary__lr__elasticnet,FN_early,2
stage_activation_summary__lr__elasticnet,FN_late,2
stage_activation_summary__lr__elasticnet,FN_middle,7
stage_activation_summary__lr__elasticnet,FP_normal,11
stage_activation_summary__lr__elasticnet,correct,45
stage_activation_summary__lr__l1,FN_AD_high_MMSE,4
stage_activation_summary__lr__l1,FN_early,2
stage_activation_summary__lr__l1,FN_late,2
stage_activation_summary__lr__l1,FN_middle,7
stage_activation_summary__lr__l1,FP_normal,11
stage_activation_summary__lr__l1,correct,45
stage_activation_summary__lr__l2,FN_AD_high_MMSE,4
stage_activation_summary__lr__l2,FN_early,2
stage_activation_summary__lr__l2,FN_late,2
stage_activation_summary__lr__l2,FN_middle,7
stage_activation_summary__lr__l2,FP_normal,11
stage_activation_summary__lr__l2,correct,45
stage_activation_summary__svc__linear,FN_AD_high_MMSE,1
stage_activation_summary__svc__linear,FN_early,2
stage_activation_summary__svc__linear,FN_late,1
stage_activation_summary__svc__linear,FN_middle,5
stage_activation_summary__svc__linear,FP_normal,17
stage_activation_summary__svc__linear,correct,45
stage_activation_summary__svc__poly2,FN_AD_high_MMSE,4
stage_activation_summary__svc__poly2,FN_early,2
stage_activation_summary__svc__poly2,FN_late,3
stage_activation_summary__svc__poly2,FN_middle,6
stage_activation_summary__svc__poly2,FP_normal,17
stage_activation_summary__svc__poly2,correct,39
stage_activation_summary__svc__poly3,FN_AD_high_MMSE,3
stage_activation_summary__svc__poly3,FN_early,2
stage_activation_summary__svc__poly3,FN_late,3
stage_activation_summary__svc__poly3,FN_middle,7
stage_activation_summary__svc__poly3,FP_normal,18
stage_activation_summary__svc__poly3,correct,38
stage_activation_summary__svc__rbf,FN_AD_high_MMSE,4
stage_activation_summary__svc__rbf,FN_early,2
stage_activation_summary__svc__rbf,FN_late,3
stage_activation_summary__svc__rbf,FN_middle,6
stage_activation_summary__svc__rbf,FP_normal,14
stage_activation_summary__svc__rbf,correct,42
stage_activation_summary__svc__sigmoid,FN_AD_high_MMSE,1
stage_activation_summary__svc__sigmoid,FN_early,1
stage_activation_summary__svc__sigmoid,FN_late,1
stage_activation_summary__svc__sigmoid,FN_middle,5
stage_activation_summary__svc__sigmoid,FP_normal,19
stage_activation_summary__svc__sigmoid,correct,44
stage_score_early_late__lr__l2,FN_AD_high_MMSE,3
stage_score_early_late__lr__l2,FN_early,2
stage_score_early_late__lr__l2,FN_middle,3
stage_score_early_late__lr__l2,FP_normal,12
stage_score_early_late__lr__l2,correct,51
stage_score_early_middle__lr__l2,FN_AD_high_MMSE,1
stage_score_early_middle__lr__l2,FN_early,1
stage_score_early_middle__lr__l2,FN_late,1
stage_score_early_middle__lr__l2,FN_middle,1
stage_score_early_middle__lr__l2,FP_normal,14
stage_score_early_middle__lr__l2,correct,53
stage_score_middle_late__lr__l2,FN_AD_high_MMSE,1
stage_score_middle_late__lr__l2,FN_early,1
stage_score_middle_late__lr__l2,FN_late,1
stage_score_middle_late__lr__l2,FN_middle,2
stage_score_middle_late__lr__l2,FP_normal,12
stage_score_middle_late__lr__l2,correct,54
stage_score_three_stage__lr__l2,FN_AD_high_MMSE,1
stage_score_three_stage__lr__l2,FN_early,1
stage_score_three_stage__lr__l2,FN_late,1
stage_score_three_stage__lr__l2,FN_middle,1
stage_score_three_stage__lr__l2,FP_normal,13
stage_score_three_stage__lr__l2,correct,54
