model_name,group,feature_block,mechanism_consistent,best_params,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,mcc,log_loss,brier,tn,fp,fn,tp,threshold
early_middle_scale__lr__l1,sequential_scale,early_middle_scale,False,"{""clf__C"": 1.0, ""clf__class_weight"": null}",0.7464788732394366,0.7484126984126984,0.8857142857142857,0.6111111111111112,0.6888888888888889,0.775,0.8047619047619048,0.791662397913551,0.5155800802553882,0.7976397710324856,0.2187703127149818,22,14,4,31,0.5
all__lr__l1,three_stage_raw,all,False,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}",0.7464788732394366,0.7484126984126984,0.8857142857142857,0.6111111111111112,0.6888888888888889,0.775,0.8007936507936508,0.7885960706538169,0.5155800802553882,0.7932518524077078,0.2170361142579408,22,14,4,31,0.5
early_middle__svc__sigmoid,two_stage_raw,early_middle,False,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.7464788732394366,0.748015873015873,0.8571428571428571,0.6388888888888888,0.6976744186046512,0.7692307692307693,0.8325396825396825,0.8305675913286797,0.5074362644869594,0.6073237383521266,0.1857240503110163,23,13,5,30,0.5
middle_late_scale__svc__rbf,sequential_scale,middle_late_scale,False,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__gamma"": ""scale""}",0.7464788732394366,0.748015873015873,0.8571428571428571,0.6388888888888888,0.6976744186046512,0.7692307692307693,0.8277777777777776,0.8232921994326204,0.5074362644869594,0.531059296341786,0.1759783564117419,23,13,5,30,0.5
all_plus_interactions__svc__sigmoid,three_stage_full_interaction,all_plus_interactions,False,"{""clf__C"": 3.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.7464788732394366,0.7476190476190476,0.8285714285714286,0.6666666666666666,0.7073170731707317,0.7631578947368421,0.8261904761904761,0.822199292760102,0.5012412004203551,0.6165682352660625,0.1864242100572944,24,12,6,29,0.5
middle__lr__l2,single_stage_middle_moderate,middle,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.7464788732394366,0.7476190476190476,0.8285714285714286,0.6666666666666666,0.7073170731707317,0.7631578947368421,0.819047619047619,0.8271908408333332,0.5012412004203551,0.6594000956955812,0.1945990667238761,24,12,6,29,0.5
early_middle__svc__linear,two_stage_raw,early_middle,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.7323943661971831,0.7345238095238096,0.8857142857142857,0.5833333333333334,0.6739130434782609,0.7654320987654321,0.8238095238095239,0.8303264383360243,0.4909681144850384,0.7108582384696914,0.2106686058629991,21,15,4,31,0.5
all__svc__linear,three_stage_raw,all,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.7323943661971831,0.7345238095238096,0.8857142857142857,0.5833333333333334,0.6739130434782609,0.7654320987654321,0.8222222222222223,0.8249825785294954,0.4909681144850384,0.6971163435543972,0.2058239882733145,21,15,4,31,0.5
early_middle_scale__lr__elasticnet,sequential_scale,early_middle_scale,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.5}",0.7323943661971831,0.7341269841269842,0.8571428571428571,0.6111111111111112,0.6818181818181818,0.759493670886076,0.8166666666666667,0.8210955760711679,0.4822347679701873,0.7425366366464089,0.2108636549674988,22,14,5,30,0.5
early_middle__lr__elasticnet,two_stage_raw,early_middle,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.5}",0.7323943661971831,0.7341269841269842,0.8571428571428571,0.6111111111111112,0.6818181818181818,0.759493670886076,0.8158730158730159,0.8195479570235488,0.4822347679701873,0.7427633888703584,0.2109649243226871,22,14,5,30,0.5
all__lr__elasticnet,three_stage_raw,all,False,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__l1_ratio"": 0.25}",0.7323943661971831,0.7337301587301588,0.8285714285714286,0.6388888888888888,0.6904761904761905,0.7532467532467533,0.8150793650793651,0.8125699871177147,0.4754516709912587,0.7541739375632551,0.2051244191818236,23,13,6,29,0.5
stage_score_middle_late__lr__l2,stage_score_interaction,all,True,"{""base_C"": 0.1, ""class_weight"": null, ""meta_C"": 1.0}",0.7323943661971831,0.7337301587301588,0.8285714285714286,0.6388888888888888,0.6904761904761905,0.7532467532467533,0.8007936507936507,0.7759302990063978,0.4754516709912587,0.6615742241084969,0.2018170436038883,23,13,6,29,0.5
early__svc__poly2,single_stage_early_mild,early,False,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.7323943661971831,0.7337301587301588,0.8285714285714286,0.6388888888888888,0.6904761904761905,0.7532467532467533,0.7492063492063492,0.6878870390313914,0.4754516709912587,0.5925739629287146,0.2015841885219932,23,13,6,29,0.5
early__svc__sigmoid,single_stage_early_mild,early,False,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.7323943661971831,0.7333333333333334,0.8,0.6666666666666666,0.7,0.7466666666666667,0.7873015873015873,0.7502018979951327,0.4704150535225729,0.5625513746737286,0.1900978502731656,24,12,7,28,0.5
early_late__svc__sigmoid,two_stage_raw,early_late,False,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",0.7323943661971831,0.7333333333333334,0.8,0.6666666666666666,0.7,0.7466666666666667,0.7857142857142857,0.7569369666155004,0.4704150535225729,0.5680162521587269,0.1926581698619589,24,12,7,28,0.5
early_middle_scale__svc__linear,sequential_scale,early_middle_scale,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.7183098591549296,0.7206349206349206,0.8857142857142857,0.5555555555555556,0.6595744680851063,0.7560975609756098,0.8277777777777778,0.8325480880444138,0.4663746855186089,0.6704026390599885,0.2032404688410357,20,16,4,31,0.5
