model_name,metric,bootstrap_mean,ci_low,ci_high,n_boot
late__lr__elasticnet,balanced_accuracy,0.5393630952380952,0.45395833333333335,0.6384325396825398,200
late__lr__elasticnet,sensitivity,0.8291428571428571,0.6857142857142857,0.9428571428571428,200
late__lr__elasticnet,specificity,0.24958333333333335,0.13819444444444445,0.3895833333333335,200
late__lr__elasticnet,f1,0.6371618168854947,0.5541545492314084,0.717434049829018,200
late__lr__elasticnet,roc_auc,0.5736130952380952,0.4533928571428571,0.693779761904762,200
late__lr__elasticnet,pr_auc,0.5601843777552665,0.46662172657824574,0.6503600777870587,200
late__lr__elasticnet,mcc,0.09762164663778589,-0.11610522652948593,0.34725379024220704,200
late__svc__linear,accuracy,0.535281690140845,0.4507042253521127,0.6341549295774649,200
late__svc__linear,balanced_accuracy,0.5393630952380952,0.45395833333333335,0.6384325396825398,200
late__svc__linear,sensitivity,0.8291428571428571,0.6857142857142857,0.9428571428571428,200
late__svc__linear,specificity,0.24958333333333335,0.13819444444444445,0.3895833333333335,200
late__svc__linear,f1,0.6371618168854947,0.5541545492314084,0.717434049829018,200
late__svc__linear,roc_auc,0.5581686507936507,0.4379761904761905,0.695327380952381,200
late__svc__linear,pr_auc,0.5350149139920393,0.45916155404301934,0.6343181392578469,200
late__svc__linear,mcc,0.09762164663778589,-0.11610522652948593,0.34725379024220704,200
late__svc__poly2,accuracy,0.535281690140845,0.4507042253521127,0.6341549295774649,200
late__svc__poly2,balanced_accuracy,0.5393630952380952,0.45395833333333335,0.6384325396825398,200
late__svc__poly2,sensitivity,0.8291428571428571,0.6857142857142857,0.9428571428571428,200
late__svc__poly2,specificity,0.24958333333333335,0.13819444444444445,0.3895833333333335,200
late__svc__poly2,f1,0.6371618168854947,0.5541545492314084,0.717434049829018,200
late__svc__poly2,roc_auc,0.5362400793650793,0.4232242063492064,0.6799305555555556,200
late__svc__poly2,pr_auc,0.5200974747550599,0.4530933520780724,0.6190570758821508,200
late__svc__poly2,mcc,0.09762164663778589,-0.11610522652948593,0.34725379024220704,200
late__svc__poly3,accuracy,0.5494366197183098,0.47852112676056335,0.6485915492957748,200
late__svc__poly3,balanced_accuracy,0.5537202380952381,0.4814384920634921,0.653045634920635,200
late__svc__poly3,sensitivity,0.8578571428571429,0.7142857142857143,0.9714285714285714,200
late__svc__poly3,specificity,0.24958333333333335,0.13819444444444445,0.3895833333333335,200
late__svc__poly3,f1,0.6522186671900003,0.5746305418719212,0.7294560404807083,200
late__svc__poly3,roc_auc,0.5604503968253968,0.4435515873015873,0.6788095238095239,200
late__svc__poly3,pr_auc,0.5381936256628596,0.46313241222681106,0.6189096941142287,200
late__svc__poly3,mcc,0.1361773442062755,-0.04833589428390471,0.3921464889562725,200
late__svc__rbf,accuracy,0.5494366197183098,0.47852112676056335,0.6485915492957748,200
late__svc__rbf,balanced_accuracy,0.5537202380952381,0.4814384920634921,0.653045634920635,200
late__svc__rbf,sensitivity,0.8578571428571429,0.7142857142857143,0.9714285714285714,200
late__svc__rbf,specificity,0.24958333333333335,0.13819444444444445,0.3895833333333335,200
late__svc__rbf,f1,0.6522186671900003,0.5746305418719212,0.7294560404807083,200
late__svc__rbf,roc_auc,0.5176488095238095,0.392797619047619,0.647063492063492,200
late__svc__rbf,pr_auc,0.5087200159716886,0.44015348692393047,0.5944702509599973,200
late__svc__rbf,mcc,0.1361773442062755,-0.04833589428390471,0.3921464889562725,200
late__svc__sigmoid,accuracy,0.5293661971830985,0.4362676056338028,0.6338028169014085,200
late__svc__sigmoid,balanced_accuracy,0.5259920634920634,0.43258928571428573,0.6313492063492063,200
late__svc__sigmoid,sensitivity,0.2864285714285715,0.17142857142857143,0.45714285714285713,200
late__svc__sigmoid,specificity,0.7655555555555555,0.6388888888888888,0.9166666666666666,200
late__svc__sigmoid,f1,0.3719506893374306,0.2222222222222222,0.5423728813559322,200
late__svc__sigmoid,roc_auc,0.5424146825396826,0.4261011904761905,0.6766468253968254,200
late__svc__sigmoid,pr_auc,0.5310078774329875,0.4549399444183465,0.6296300273175759,200
late__svc__sigmoid,mcc,0.06029364075115982,-0.15786084090142405,0.2905752016211902,200
early_middle__lr__l2,accuracy,0.7835211267605634,0.6901408450704225,0.8735915492957746,200
early_middle__lr__l2,balanced_accuracy,0.7853095238095239,0.6912599206349206,0.8749503968253969,200
early_middle__lr__l2,sensitivity,0.9122857142857143,0.8,1.0,200
early_middle__lr__l2,specificity,0.6583333333333333,0.5,0.8055555555555556,200
early_middle__lr__l2,f1,0.8064458231968635,0.715911306042885,0.8834073820915926,200
