model_name,severity_group,n,accuracy,mean_p_ad,false_positive,false_negative
early_middle__svc__sigmoid,late,7,0.8571428571428571,0.9129251991974108,0,1
early_middle__svc__sigmoid,middle,14,0.8571428571428571,0.8027493011688772,0,2
early_middle_scale__lr__elasticnet,AD_high_MMSE,8,0.75,0.7876895076889832,0,2
early_middle_scale__lr__elasticnet,control,36,0.6111111111111112,0.42131672466610864,14,0
early_middle_scale__lr__elasticnet,early,6,0.8333333333333334,0.8106261220797247,0,1
early_middle_scale__lr__elasticnet,late,7,1.0,0.9620432697312903,0,0
early_middle_scale__lr__elasticnet,middle,14,0.8571428571428571,0.8042952067190301,0,2
early_middle_scale__lr__l1,AD_high_MMSE,8,0.875,0.8427943074810909,0,1
early_middle_scale__lr__l1,control,36,0.6111111111111112,0.4290119541777848,14,0
early_middle_scale__lr__l1,early,6,0.8333333333333334,0.7859048675024445,0,1
early_middle_scale__lr__l1,late,7,1.0,0.9659797088750544,0,0
early_middle_scale__lr__l1,middle,14,0.8571428571428571,0.7810441385551827,0,2
early_middle_scale__lr__l2,AD_high_MMSE,8,0.875,0.8395097806528127,0,1
early_middle_scale__lr__l2,control,36,0.6666666666666666,0.37778530578935055,12,0
early_middle_scale__lr__l2,early,6,0.8333333333333334,0.8261869538335773,0,1
early_middle_scale__lr__l2,late,7,0.8571428571428571,0.9237121942112451,0,1
early_middle_scale__lr__l2,middle,14,0.9285714285714286,0.8062765569241703,0,1
early_middle_scale__svc__linear,AD_high_MMSE,8,0.875,0.8467209889090277,0,1
early_middle_scale__svc__linear,control,36,0.5555555555555556,0.4482854808200418,16,0
early_middle_scale__svc__linear,early,6,0.8333333333333334,0.8105942388757477,0,1
early_middle_scale__svc__linear,late,7,1.0,0.940916092056936,0,0
early_middle_scale__svc__linear,middle,14,0.8571428571428571,0.7766347308047147,0,2
early_middle_scale__svc__poly2,AD_high_MMSE,8,0.875,0.8427070195561543,0,1
early_middle_scale__svc__poly2,control,36,0.6388888888888888,0.41115730446921667,13,0
early_middle_scale__svc__poly2,early,6,0.8333333333333334,0.7954895865699366,0,1
early_middle_scale__svc__poly2,late,7,1.0,0.9392866071537014,0,0
early_middle_scale__svc__poly2,middle,14,0.9285714285714286,0.8068440019966844,0,1
early_middle_scale__svc__poly3,AD_high_MMSE,8,1.0,0.8293241896765003,0,0
early_middle_scale__svc__poly3,control,36,0.75,0.39325137694477696,9,0
early_middle_scale__svc__poly3,early,6,0.8333333333333334,0.7602646669102243,0,1
early_middle_scale__svc__poly3,late,7,1.0,0.929481131480879,0,0
early_middle_scale__svc__poly3,middle,14,0.9285714285714286,0.8087290157023327,0,1
early_middle_scale__svc__rbf,AD_high_MMSE,8,0.875,0.7883613896187287,0,1
early_middle_scale__svc__rbf,control,36,0.6111111111111112,0.4023488482344041,14,0
early_middle_scale__svc__rbf,early,6,0.8333333333333334,0.7255873607209993,0,1
early_middle_scale__svc__rbf,late,7,1.0,0.9193616948870903,0,0
early_middle_scale__svc__rbf,middle,14,0.8571428571428571,0.7663453176324128,0,2
early_middle_scale__svc__sigmoid,AD_high_MMSE,8,0.875,0.8013156603951439,0,1
early_middle_scale__svc__sigmoid,control,36,0.6666666666666666,0.42081259602353344,12,0
early_middle_scale__svc__sigmoid,early,6,0.8333333333333334,0.7956533985839874,0,1
early_middle_scale__svc__sigmoid,late,7,0.8571428571428571,0.91359820069416,0,1
early_middle_scale__svc__sigmoid,middle,14,0.8571428571428571,0.7963090551589037,0,2
late__lr__elasticnet,AD_high_MMSE,8,0.75,0.49405368110043774,0,2
late__lr__elasticnet,control,36,0.25,0.4970792284011469,27,0
late__lr__elasticnet,early,6,1.0,0.5295903671427615,0,0
late__lr__elasticnet,late,7,1.0,0.5374702677409509,0,0
late__lr__elasticnet,middle,14,0.7142857142857143,0.5157818783169207,0,4
late__lr__l1,AD_high_MMSE,8,0.125,0.4677874755794988,0,7
late__lr__l1,control,36,0.8333333333333334,0.47330823128000943,6,0
late__lr__l1,early,6,0.16666666666666666,0.5039552137423968,0,5
late__lr__l1,late,7,0.2857142857142857,0.5156889234801288,0,5
late__lr__l1,middle,14,0.2857142857142857,0.4908848002535295,0,10
late__lr__l2,AD_high_MMSE,8,0.125,0.46271229328963864,0,7
late__lr__l2,control,36,0.8333333333333334,0.4679058889723695,6,0
late__lr__l2,early,6,0.3333333333333333,0.516899524507325,0,4
late__lr__l2,late,7,0.2857142857142857,0.5345800894653105,0,5
