model_name,group,feature_block,mechanism_consistent,best_cv_score_grid,best_params,fit_seconds,cv_accuracy,cv_balanced_accuracy,cv_sensitivity,cv_specificity,cv_precision,cv_f1,cv_roc_auc,cv_pr_auc,cv_mcc,cv_log_loss,cv_brier,cv_tn,cv_fp,cv_fn,cv_tp,cv_threshold,cv_repeated_oof_available
stage_score_middle_late__lr__l2,stage_score_interaction,all,True,0.8674985145573381,"{""base_C"": 0.1, ""class_weight"": null, ""meta_C"": 1.0}",4.115318059921265,0.8795180722891566,0.8809835588534847,0.8505747126436781,0.9113924050632911,0.9135802469135802,0.8809523809523809,0.9538774916339298,0.9636895855608687,0.761302804487646,0.29264312565903317,0.08739387408575737,72,7,13,74,0.5,True
middle__lr__elasticnet,single_stage_middle_moderate,middle,False,0.8754010695187164,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.75}",70.41085028648376,0.8795180722891566,0.8804015713662157,0.8620689655172413,0.8987341772151899,0.9036144578313253,0.8823529411764706,0.9320529608613415,0.9462673283704951,0.7599191300675939,0.387576406097769,0.11733467637662338,71,8,12,75,0.5,True
middle_late_scale__lr__elasticnet,sequential_scale,middle_late_scale,False,0.8836007130124778,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.5}",359.2682180404663,0.8795180722891566,0.8804015713662157,0.8620689655172413,0.8987341772151899,0.9036144578313253,0.8823529411764706,0.9537319947621126,0.9652074083272868,0.7599191300675939,0.2831012440274121,0.08444885556361935,71,8,12,75,0.5,True
all_plus_interactions__lr__l2,three_stage_full_interaction,all_plus_interactions,False,0.8695187165775401,"{""clf__C"": 0.1, ""clf__class_weight"": null}",2.787816286087036,0.8795180722891566,0.8804015713662157,0.8620689655172413,0.8987341772151899,0.9036144578313253,0.8823529411764706,0.9516950385566711,0.958831513644277,0.7599191300675939,0.2864051409240664,0.09177846529251185,71,8,12,75,0.5,True
all__svc__sigmoid,three_stage_raw,all,False,0.8755793226381462,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",1.9790854454040527,0.8795180722891566,0.8798195838789467,0.8735632183908046,0.8860759493670886,0.8941176470588236,0.8837209302325582,0.9524225229157575,0.9570377474171811,0.7589768841378651,0.28991023624210616,0.08879085991723816,70,9,11,76,0.5,True
middle_late_scale__svc__poly3,sequential_scale,middle_late_scale,False,0.863576945929887,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",3.6958932876586914,0.8795180722891566,0.8798195838789467,0.8735632183908046,0.8860759493670886,0.8941176470588236,0.8837209302325582,0.9396187981958388,0.9505237030924107,0.7589768841378651,0.32162234036078813,0.10080109035413391,70,9,11,76,0.5,True
mlp_svc_late_calibrated__lr__l2,performance_corrected,all,True,0.8795603089720736,"{""class_weight"": ""balanced"", ""late_C"": 1.0, ""meta_C"": 0.1}",11.62441110610962,0.8795180722891566,0.8798195838789467,0.8735632183908046,0.8860759493670886,0.8941176470588236,0.8837209302325582,0.9624618070711479,0.9672986407001488,0.7589768841378651,0.30328858673231734,0.0863401105757269,70,9,11,76,0.5,True
early_middle__svc__sigmoid,two_stage_raw,early_middle,False,0.8676767676767677,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 0.0, ""clf__gamma"": ""scale""}",1.7727954387664795,0.8795180722891566,0.8792375963916776,0.8850574712643678,0.8734177215189873,0.8850574712643678,0.8850574712643678,0.9538774916339299,0.9587698682000596,0.7584751927833552,0.2840291894363184,0.08728601763909723,69,10,10,77,0.5,True
middle_late__svc__linear,two_stage_raw,middle_late,False,0.8815210932857991,"{""clf__C"": 0.1, ""clf__class_weight"": null}",1.1537268161773682,0.8795180722891566,0.8792375963916776,0.8850574712643678,0.8734177215189873,0.8850574712643678,0.8850574712643678,0.9608613414811581,0.9693965747994425,0.7584751927833552,0.2671807684529639,0.08112467462367924,69,10,10,77,0.5,True
all__svc__poly2,three_stage_raw,all,False,0.883541295306001,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",2.0160770416259766,0.8795180722891566,0.8792375963916776,0.8850574712643678,0.8734177215189873,0.8850574712643678,0.8850574712643678,0.9659537319947621,0.9712812890030454,0.7584751927833552,0.2510447045827686,0.0775508822404535,69,10,10,77,0.5,True
early_middle_scale__svc__poly3,sequential_scale,early_middle_scale,False,0.8754604872251931,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",2.27123761177063,0.8795180722891566,0.8792375963916776,0.8850574712643678,0.8734177215189873,0.8850574712643678,0.8850574712643678,0.9541684853775644,0.9613043409859503,0.7584751927833552,0.28241003450056645,0.08850158950403993,69,10,10,77,0.5,True
all_plus_interactions__svc__linear,three_stage_full_interaction,all_plus_interactions,False,0.8775995246583481,"{""clf__C"": 0.1, ""clf__class_weight"": null}",2.630971670150757,0.8795180722891566,0.8792375963916776,0.8850574712643678,0.8734177215189873,0.8850574712643678,0.8850574712643678,0.9612978320966099,0.9669442921431108,0.7584751927833552,0.2682262836933409,0.08258586860792157,69,10,10,77,0.5,True
all__svc__linear,three_stage_raw,all,False,0.8795603089720735,"{""clf__C"": 0.1, ""clf__class_weight"": null}",1.266427755355835,0.8795180722891566,0.8786556089044086,0.896551724137931,0.8607594936708861,0.8764044943820225,0.8863636363636364,0.9698821475338281,0.9755879341695891,0.7584154925537363,0.24105845502764073,0.07369270105874501,68,11,9,78,0.5,True
all__svc__poly3,three_stage_raw,all,False,0.8695781342840164,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",1.9907965660095215,0.8795180722891566,0.8786556089044086,0.896551724137931,0.8607594936708861,0.8764044943820225,0.8863636363636364,0.9575149134293612,0.9637592587503258,0.7584154925537363,0.27524362962584475,0.0859109694897161,68,11,9,78,0.5,True
middle_late_scale__svc__linear,sequential_scale,middle_late_scale,False,0.8775401069518716,"{""clf__C"": 0.1, ""clf__class_weight"": null}",2.801198959350586,0.8795180722891566,0.8780736214171395,0.9080459770114943,0.8481012658227848,0.8681318681318682,0.8876404494382022,0.9589698821475339,0.9660509938660393,0.7588015633893758,0.28230080521472734,0.08681410237461272,67,12,8,79,0.5,True
early_middle_scale__lr__l1,sequential_scale,early_middle_scale,False,0.8614973262032085,"{""clf__C"": 1.0, ""clf__class_weight"": null}",1.2197625637054443,0.8734939759036144,0.87698239487851,0.8045977011494253,0.9493670886075949,0.9459459459459459,0.8695652173913043,0.9477666230176052,0.9580929572477492,0.7575555131742291,0.30335851530744834,0.09074388119315141,75,4,17,70,0.5,True
