early_variant,model_spec_id,feature_block,classifier_name,model_family,n_seeds,external_accuracy_mean,external_accuracy_std,external_accuracy_ci95_low,external_accuracy_ci95_high,external_precision_mean,external_recall_mean,external_f1_mean,external_auc_mean,external_accuracy_min,external_accuracy_max,seed2026_external_accuracy,selection_threshold,selection_source
earlyv0,early_middle__lr__l2,early_middle,lr__l2,lr,3,0.676056338028169,0.0,0.676056338028169,0.676056338028169,0.6666666666666666,0.6857142857142856,0.676056338028169,0.7674603174603175,0.676056338028169,0.676056338028169,0.7746478873239436,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,early_middle_scale__lr__l2,early_middle_scale,lr__l2,lr,3,0.676056338028169,0.0,0.676056338028169,0.676056338028169,0.6666666666666666,0.6857142857142856,0.676056338028169,0.765079365079365,0.676056338028169,0.676056338028169,0.7746478873239436,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,early_middle__lr__elasticnet,early_middle,lr__elasticnet,lr,3,0.676056338028169,0.0,0.676056338028169,0.676056338028169,0.6666666666666666,0.6857142857142856,0.676056338028169,0.7674603174603175,0.676056338028169,0.676056338028169,0.7605633802816901,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,early_middle__mlp__small,early_middle,early_middle__mlp__small,special,3,0.676056338028169,0.0,0.676056338028169,0.676056338028169,0.6666666666666666,0.6857142857142856,0.676056338028169,0.7674603174603175,0.676056338028169,0.676056338028169,0.7605633802816901,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,early_middle__svc__poly2,early_middle,svc__poly2,svc,3,0.676056338028169,0.0,0.676056338028169,0.676056338028169,0.6666666666666666,0.6857142857142856,0.676056338028169,0.7674603174603175,0.676056338028169,0.676056338028169,0.7605633802816901,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,early_middle__svc__rbf,early_middle,svc__rbf,svc,3,0.676056338028169,0.0,0.676056338028169,0.676056338028169,0.6666666666666666,0.6857142857142856,0.676056338028169,0.7674603174603175,0.676056338028169,0.676056338028169,0.7605633802816901,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,early_middle__svc__sigmoid,early_middle,svc__sigmoid,svc,3,0.676056338028169,0.0,0.676056338028169,0.676056338028169,0.6666666666666666,0.6857142857142856,0.676056338028169,0.7674603174603175,0.676056338028169,0.676056338028169,0.7605633802816901,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,early_middle_scale__svc__rbf,early_middle_scale,svc__rbf,svc,3,0.676056338028169,0.0,0.676056338028169,0.676056338028169,0.6666666666666666,0.6857142857142856,0.676056338028169,0.765079365079365,0.676056338028169,0.676056338028169,0.7605633802816901,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv0,all__svc__poly3,all,svc__poly3,svc,3,0.6619718309859155,0.0,0.6619718309859155,0.6619718309859155,0.6486486486486487,0.6857142857142856,0.6666666666666666,0.7666666666666666,0.6619718309859155,0.6619718309859155,0.8309859154929577,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
earlyv1,all__svc__poly3,all,svc__poly3,svc,3,0.6619718309859155,0.0,0.6619718309859155,0.6619718309859155,0.6486486486486487,0.6857142857142856,0.6666666666666666,0.7666666666666666,0.6619718309859155,0.6619718309859155,0.8309859154929577,0.75,D:\research\H.L.Liang-Lab\Code\expore\stagev3_fixed\output\final_report\seed2026_main_results.csv
