model_name,metric,bootstrap_mean,ci_low,ci_high,n_boot
middle__svc__linear,specificity,0.49263888888888885,0.36041666666666666,0.6666666666666666,200
middle__svc__linear,f1,0.7205154293552676,0.6171459694989107,0.8001219512195122,200
middle__svc__linear,roc_auc,0.7976904761904762,0.6988690476190477,0.8833928571428571,200
middle__svc__linear,pr_auc,0.8173096634111878,0.7139182386708726,0.8964849581743447,200
middle__svc__linear,mcc,0.3762972232096302,0.1337265147134572,0.5840553408514432,200
middle__svc__poly2,accuracy,0.772112676056338,0.676056338028169,0.8591549295774648,200
middle__svc__poly2,balanced_accuracy,0.7740912698412697,0.6781646825396825,0.860327380952381,200
middle__svc__poly2,sensitivity,0.9145714285714286,0.8,1.0,200
middle__svc__poly2,specificity,0.6336111111111111,0.4722222222222222,0.8055555555555556,200
middle__svc__poly2,f1,0.7988639616920713,0.7158696671354899,0.8685053981106613,200
middle__svc__poly2,roc_auc,0.8366031746031746,0.724563492063492,0.9198809523809525,200
middle__svc__poly2,pr_auc,0.8449799213959007,0.7361641586927635,0.9207666224397182,200
middle__svc__poly2,mcc,0.571884346471279,0.37283206430977084,0.7295863356731247,200
middle__svc__poly3,accuracy,0.7983098591549296,0.704225352112676,0.8873239436619719,200
middle__svc__poly3,balanced_accuracy,0.7995396825396826,0.7051587301587301,0.8869146825396825,200
middle__svc__poly3,sensitivity,0.8868571428571431,0.7714285714285715,0.9714285714285714,200
middle__svc__poly3,specificity,0.7122222222222221,0.5833333333333334,0.8618055555555557,200
middle__svc__poly3,f1,0.8129815684413493,0.72,0.8857233273056058,200
middle__svc__poly3,roc_auc,0.8444761904761904,0.744265873015873,0.9246626984126984,200
middle__svc__poly3,pr_auc,0.8559877827712953,0.7625672659853455,0.9242202240073288,200
middle__svc__poly3,mcc,0.6098080190578732,0.4136132358353235,0.7746295585798709,200
middle__svc__rbf,accuracy,0.7814084507042254,0.676056338028169,0.8591549295774648,200
middle__svc__rbf,balanced_accuracy,0.7828511904761905,0.678154761904762,0.8607142857142858,200
middle__svc__rbf,sensitivity,0.8852857142857143,0.7714285714285715,0.9714285714285714,200
middle__svc__rbf,specificity,0.6804166666666667,0.5277777777777778,0.8333333333333334,200
middle__svc__rbf,f1,0.7999420981726608,0.7041521858423266,0.8717948717948718,200
middle__svc__rbf,roc_auc,0.8426230158730158,0.7246031746031747,0.9238293650793651,200
middle__svc__rbf,pr_auc,0.8606480114324867,0.7639949671076933,0.9325235341697253,200
middle__svc__rbf,mcc,0.579369303161982,0.3726984434425077,0.7380153030698339,200
middle__svc__sigmoid,accuracy,0.7259859154929578,0.6193661971830986,0.8169014084507042,200
middle__svc__sigmoid,balanced_accuracy,0.7278015873015873,0.6214980158730159,0.8182539682539682,200
middle__svc__sigmoid,sensitivity,0.8567142857142858,0.7421428571428572,0.9714285714285714,200
middle__svc__sigmoid,specificity,0.5988888888888888,0.4444444444444444,0.75,200
middle__svc__sigmoid,f1,0.7551691691890858,0.6583231707317073,0.8311688311688312,200
middle__svc__sigmoid,roc_auc,0.8112222222222222,0.6872222222222222,0.9024007936507935,200
middle__svc__sigmoid,pr_auc,0.8143973248938192,0.7058273172414083,0.907392119035276,200
middle__svc__sigmoid,mcc,0.47291268530199887,0.25470398350433426,0.6473892022665356,200
late__lr__l2,accuracy,0.6716901408450704,0.5630281690140846,0.8028169014084507,200
late__lr__l2,balanced_accuracy,0.6706805555555556,0.5623809523809524,0.8012003968253969,200
late__lr__l2,sensitivity,0.5990000000000001,0.42857142857142855,0.7714285714285715,200
late__lr__l2,specificity,0.7423611111111111,0.5833333333333334,0.8888888888888888,200
late__lr__l2,f1,0.6411073778077853,0.499780701754386,0.7778645833333334,200
late__lr__l2,roc_auc,0.6545376984126985,0.5197321428571428,0.8005555555555557,200
late__lr__l2,pr_auc,0.6276395788533035,0.5073354541311198,0.802159326892244,200
late__lr__l2,mcc,0.3474276369830223,0.12536028663496854,0.6136580369545176,200
late__lr__l1,accuracy,0.6721830985915492,0.5771126760563381,0.7890845070422535,200
late__lr__l1,balanced_accuracy,0.6707420634920634,0.5743154761904762,0.7880456349206351,200
late__lr__l1,sensitivity,0.5684285714285714,0.4,0.7428571428571429,200
late__lr__l1,specificity,0.7730555555555556,0.6381944444444444,0.9166666666666666,200
late__lr__l1,f1,0.6289104294342774,0.4995967741935484,0.7695312500000001,200
late__lr__l1,roc_auc,0.6724880952380953,0.5435218253968255,0.8168253968253969,200
late__lr__l1,pr_auc,0.6823516805664525,0.5702399921243542,0.8173778793455178,200
late__lr__l1,mcc,0.3514467788282538,0.15363502420086841,0.583149448028321,200
late__lr__elasticnet,accuracy,0.6299295774647888,0.520774647887324,0.746830985915493,200
