model_name,severity_group,n,accuracy,mean_p_ad,false_negatives,false_positives
early_middle__mlp__small,middle,14,0.42857142857142855,0.4771135033462624,8,0
early_middle__svc__linear,AD_high_MMSE,8,0.875,0.8546607156883308,1,0
early_middle__svc__linear,control,36,0.5833333333333334,0.4578206965190512,0,15
early_middle__svc__linear,early,6,0.8333333333333334,0.8104183895819875,1,0
early_middle__svc__linear,late,7,1.0,0.9485763471338047,0,0
early_middle__svc__linear,middle,14,0.8571428571428571,0.781053935169138,2,0
early_middle__svc__poly2,AD_high_MMSE,8,0.875,0.8443641210087818,1,0
early_middle__svc__poly2,control,36,0.6111111111111112,0.41134392404229336,0,14
early_middle__svc__poly2,early,6,0.8333333333333334,0.8018951736994672,1,0
early_middle__svc__poly2,late,7,1.0,0.9371937924242929,0,0
early_middle__svc__poly2,middle,14,0.9285714285714286,0.8144548048621798,1,0
early_middle__svc__poly3,AD_high_MMSE,8,1.0,0.8252182323074158,0,0
early_middle__svc__poly3,control,36,0.75,0.39496637730703804,0,9
early_middle__svc__poly3,early,6,0.8333333333333334,0.7629356162384989,1,0
early_middle__svc__poly3,late,7,1.0,0.9300514675961372,0,0
early_middle__svc__poly3,middle,14,0.9285714285714286,0.8184360056378949,1,0
early_middle__svc__rbf,AD_high_MMSE,8,0.875,0.7896384161612101,1,0
early_middle__svc__rbf,control,36,0.6388888888888888,0.39968313350254636,0,13
early_middle__svc__rbf,early,6,0.8333333333333334,0.7262202548670297,1,0
early_middle__svc__rbf,late,7,1.0,0.9274421899513217,0,0
early_middle__svc__rbf,middle,14,0.8571428571428571,0.7775399959407521,2,0
early_middle__svc__sigmoid,AD_high_MMSE,8,0.875,0.8061684130970276,1,0
early_middle__svc__sigmoid,control,36,0.6666666666666666,0.4250201725567648,0,12
early_middle__svc__sigmoid,early,6,0.8333333333333334,0.7996673050923767,1,0
early_middle__svc__sigmoid,late,7,0.8571428571428571,0.9096370486800678,1,0
early_middle__svc__sigmoid,middle,14,0.8571428571428571,0.7977539028137725,2,0
early_middle_scale__lr__elasticnet,AD_high_MMSE,8,0.875,0.8103557293468,1,0
early_middle_scale__lr__elasticnet,control,36,0.6111111111111112,0.43569095415298614,0,14
early_middle_scale__lr__elasticnet,early,6,0.8333333333333334,0.8035610245553427,1,0
early_middle_scale__lr__elasticnet,late,7,1.0,0.9674341433447998,0,0
early_middle_scale__lr__elasticnet,middle,14,0.8571428571428571,0.8171740218475504,2,0
early_middle_scale__lr__l1,AD_high_MMSE,8,0.875,0.8422872422866785,1,0
early_middle_scale__lr__l1,control,36,0.6111111111111112,0.4255984549244842,0,14
early_middle_scale__lr__l1,early,6,0.8333333333333334,0.77993431398954,1,0
early_middle_scale__lr__l1,late,7,1.0,0.9648720326791248,0,0
early_middle_scale__lr__l1,middle,14,0.8571428571428571,0.7753755949076329,2,0
early_middle_scale__lr__l2,AD_high_MMSE,8,0.875,0.8394038351980928,1,0
early_middle_scale__lr__l2,control,36,0.6666666666666666,0.3790701128823082,0,12
early_middle_scale__lr__l2,early,6,0.8333333333333334,0.8263193719225744,1,0
early_middle_scale__lr__l2,late,7,0.8571428571428571,0.9241555267592123,1,0
early_middle_scale__lr__l2,middle,14,0.9285714285714286,0.8065695305000402,1,0
early_middle_scale__svc__linear,AD_high_MMSE,8,0.875,0.8464279551319039,1,0
early_middle_scale__svc__linear,control,36,0.5555555555555556,0.44760326333918155,0,16
early_middle_scale__svc__linear,early,6,0.8333333333333334,0.8106720130051519,1,0
early_middle_scale__svc__linear,late,7,1.0,0.9406183021061827,0,0
early_middle_scale__svc__linear,middle,14,0.8571428571428571,0.7761645116485677,2,0
early_middle_scale__svc__poly2,AD_high_MMSE,8,0.875,0.8420700841570162,1,0
early_middle_scale__svc__poly2,control,36,0.6388888888888888,0.41042571695184354,0,13
early_middle_scale__svc__poly2,early,6,0.8333333333333334,0.7957373386774439,1,0
early_middle_scale__svc__poly2,late,7,1.0,0.9389743080042866,0,0
early_middle_scale__svc__poly2,middle,14,0.9285714285714286,0.806511376609165,1,0
early_middle_scale__svc__poly3,AD_high_MMSE,8,1.0,0.82836149491448,0,0
early_middle_scale__svc__poly3,control,36,0.75,0.39228033048402255,0,9
early_middle_scale__svc__poly3,early,6,0.8333333333333334,0.7603055878421513,1,0
early_middle_scale__svc__poly3,late,7,1.0,0.9291089073945787,0,0
early_middle_scale__svc__poly3,middle,14,0.8571428571428571,0.8079019090812032,2,0
early_middle_scale__svc__rbf,AD_high_MMSE,8,0.875,0.7879525409484659,1,0
early_middle_scale__svc__rbf,control,36,0.6111111111111112,0.4020693455372786,0,14
early_middle_scale__svc__rbf,early,6,0.8333333333333334,0.7254535486391503,1,0
early_middle_scale__svc__rbf,late,7,1.0,0.9191901010657719,0,0
early_middle_scale__svc__rbf,middle,14,0.8571428571428571,0.7659989002098192,2,0
early_middle_scale__svc__sigmoid,AD_high_MMSE,8,0.875,0.8014542974145137,1,0
early_middle_scale__svc__sigmoid,control,36,0.6666666666666666,0.42018099335853876,0,12
early_middle_scale__svc__sigmoid,early,6,0.8333333333333334,0.795923435291983,1,0
early_middle_scale__svc__sigmoid,late,7,0.8571428571428571,0.9136493652247192,1,0
early_middle_scale__svc__sigmoid,middle,14,0.8571428571428571,0.7966101277047368,2,0
late__lr__elasticnet,AD_high_MMSE,8,0.75,0.5115496160891787,2,0
late__lr__elasticnet,control,36,0.6388888888888888,0.4781979852150103,0,13
late__lr__elasticnet,early,6,0.6666666666666666,0.505827671550787,2,0
late__lr__elasticnet,late,7,0.7142857142857143,0.525031806336208,2,0
late__lr__elasticnet,middle,14,0.5,0.48345120183541085,7,0
late__lr__l1,AD_high_MMSE,8,0.75,0.558036640823671,2,0
late__lr__l1,control,36,0.7777777777777778,0.40836393009583116,0,8
late__lr__l1,early,6,0.5,0.4981585673449327,3,0
late__lr__l1,late,7,0.7142857142857143,0.634128777615451,2,0
late__lr__l1,middle,14,0.42857142857142855,0.45033682176245715,8,0
late__lr__l2,AD_high_MMSE,8,0.75,0.545941215634094,2,0
late__lr__l2,control,36,0.75,0.4404375124315967,0,9
late__lr__l2,early,6,0.6666666666666666,0.5154246864132742,2,0
late__lr__l2,late,7,0.7142857142857143,0.6002769740681655,2,0
late__lr__l2,middle,14,0.42857142857142855,0.4716889410484163,8,0
late__svc__linear,AD_high_MMSE,8,0.75,0.5380399151285434,2,0
late__svc__linear,control,36,0.8055555555555556,0.4320990743908736,0,7
late__svc__linear,early,6,0.5,0.500732349980246,3,0
late__svc__linear,late,7,0.7142857142857143,0.6028549844267521,2,0
late__svc__linear,middle,14,0.2857142857142857,0.46638034931162176,10,0
late__svc__poly2,AD_high_MMSE,8,0.75,0.5590403272833494,2,0
late__svc__poly2,control,36,0.5555555555555556,0.47937478546551726,0,16
late__svc__poly2,early,6,0.6666666666666666,0.511137303811687,2,0
late__svc__poly2,late,7,0.7142857142857143,0.5845149115071279,2,0
late__svc__poly2,middle,14,0.5,0.5125396256762279,7,0
late__svc__poly3,AD_high_MMSE,8,0.75,0.5534655706042276,2,0
late__svc__poly3,control,36,0.5277777777777778,0.47522586099057473,0,17
late__svc__poly3,early,6,0.8333333333333334,0.5334342528042032,1,0
late__svc__poly3,late,7,0.8571428571428571,0.5869166011176192,1,0
late__svc__poly3,middle,14,0.5714285714285714,0.5025009585269552,6,0
late__svc__rbf,AD_high_MMSE,8,0.75,0.556767588936577,2,0
late__svc__rbf,control,36,0.6111111111111112,0.4837776086360741,0,14
late__svc__rbf,early,6,0.8333333333333334,0.5394995553049929,1,0
late__svc__rbf,late,7,0.7142857142857143,0.5736000465343195,2,0
late__svc__rbf,middle,14,0.5714285714285714,0.5129009347441449,6,0
late__svc__sigmoid,AD_high_MMSE,8,0.75,0.5627937516739725,2,0
late__svc__sigmoid,control,36,0.6944444444444444,0.4489969896550163,0,11
late__svc__sigmoid,early,6,0.6666666666666666,0.5317263686805561,2,0
late__svc__sigmoid,late,7,0.7142857142857143,0.6195139274506705,2,0
late__svc__sigmoid,middle,14,0.42857142857142855,0.48157820200951695,8,0
middle__lr__elasticnet,AD_high_MMSE,8,0.75,0.7793990128983214,2,0
middle__lr__elasticnet,control,36,0.5555555555555556,0.4373608886692033,0,16
middle__lr__elasticnet,early,6,0.8333333333333334,0.7910778926091617,1,0
middle__lr__elasticnet,late,7,0.8571428571428571,0.9201114067836264,1,0
middle__lr__elasticnet,middle,14,0.7857142857142857,0.7716586520925857,3,0
middle__lr__l1,AD_high_MMSE,8,0.75,0.7152496692030332,2,0
middle__lr__l1,control,36,0.6111111111111112,0.4640825207948093,0,14
middle__lr__l1,early,6,0.8333333333333334,0.7010488852175097,1,0
middle__lr__l1,late,7,0.8571428571428571,0.7788158181359243,1,0
middle__lr__l1,middle,14,0.7142857142857143,0.6592296250972959,4,0
middle__lr__l2,AD_high_MMSE,8,0.75,0.7661098603079571,2,0
