model_name,group,feature_block,mechanism_consistent,best_params,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,mcc,log_loss,brier,tn,fp,fn,tp,threshold
stage_score_early_late__lr__l2,stage_score_interaction,all,True,"{""base_C"": 0.03, ""class_weight"": null, ""meta_C"": 1.0}",0.7183098591549296,0.719047619047619,0.7714285714285715,0.6666666666666666,0.6923076923076923,0.7297297297297297,0.7515873015873016,0.7056379956962112,0.4401964263517978,0.5945293345526298,0.2015106222952618,24,12,8,27,0.5
early__svc__poly3,single_stage_early_mild,early,False,"{""clf__C"": 0.1, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.704225352112676,0.705952380952381,0.8285714285714286,0.5833333333333334,0.6590909090909091,0.7341772151898734,0.7658730158730159,0.7240366435790658,0.4242031264008935,0.5754903234614092,0.19535603371553836,21,15,6,29,0.5
early_late__svc__poly2,two_stage_raw,early_late,False,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",0.704225352112676,0.7051587301587301,0.7714285714285715,0.6388888888888888,0.675,0.72,0.7492063492063492,0.7340923048094006,0.4136132358353235,0.5932632014442272,0.20251292554821698,23,13,8,27,0.5
early_late__lr__l2,two_stage_raw,early_late,False,"{""clf__C"": 0.03, ""clf__class_weight"": null}",0.704225352112676,0.7043650793650793,0.7142857142857143,0.6944444444444444,0.6944444444444444,0.704225352112676,0.7674603174603174,0.751345107551074,0.4087301587301587,0.571801952760346,0.19605254527290858,25,11,10,25,0.5
early__lr__l2,single_stage_early_mild,early,False,"{""clf__C"": 0.03, ""clf__class_weight"": ""balanced""}",0.704225352112676,0.7043650793650793,0.7142857142857143,0.6944444444444444,0.6944444444444444,0.704225352112676,0.7595238095238095,0.7182570057556391,0.4087301587301587,0.5865226484084103,0.2007752197471306,25,11,10,25,0.5
early_late__lr__elasticnet,two_stage_raw,early_late,False,"{""clf__C"": 0.03, ""clf__class_weight"": ""balanced"", ""clf__l1_ratio"": 0.25}",0.704225352112676,0.7043650793650793,0.7142857142857143,0.6944444444444444,0.6944444444444444,0.704225352112676,0.7452380952380953,0.7009274404905165,0.4087301587301587,0.5966738181022794,0.20461234963241587,25,11,10,25,0.5
middle_late__svc__linear,two_stage_raw,middle_late,False,"{""clf__C"": 0.1, ""clf__class_weight"": null}",0.6901408450704225,0.6924603174603174,0.8571428571428571,0.5277777777777778,0.6382978723404256,0.7317073170731707,0.7976190476190477,0.8117765297263158,0.406819644741952,0.7518048700154952,0.22415116578098693,19,17,5,30,0.5
middle_late__lr__l1,two_stage_raw,middle_late,False,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}",0.6901408450704225,0.6912698412698413,0.7714285714285715,0.6111111111111112,0.6585365853658537,0.7105263157894737,0.7698412698412699,0.7398853671655466,0.3871766964785435,0.6082183348348126,0.20211201900355513,22,14,8,27,0.5
middle__lr__l1,single_stage_middle_moderate,middle,False,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}",0.6901408450704225,0.6912698412698413,0.7714285714285715,0.6111111111111112,0.6585365853658537,0.7105263157894737,0.7698412698412698,0.7392549479176159,0.3871766964785435,0.6081392213965104,0.20206955130542514,22,14,8,27,0.5
early__lr__elasticnet,single_stage_early_mild,early,False,"{""clf__C"": 0.03, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.25}",0.6901408450704225,0.6908730158730159,0.7428571428571429,0.6388888888888888,0.6666666666666666,0.7027027027027027,0.734920634920635,0.6728821272185791,0.38357695846959194,0.6050117593751096,0.2073125151511024,23,13,9,26,0.5
