model_name,group,feature_block,mechanism_consistent,best_cv_score_grid,best_params,fit_seconds,cv_accuracy,cv_balanced_accuracy,cv_sensitivity,cv_specificity,cv_precision,cv_f1,cv_roc_auc,cv_pr_auc,cv_mcc,cv_log_loss,cv_brier,cv_tn,cv_fp,cv_fn,cv_tp,cv_threshold,cv_repeated_oof_available
early_middle__svc__linear,two_stage_raw,early_middle,False,0.8915441176470587,"{""clf__C"": 0.1, ""clf__class_weight"": null}",2.098458766937256,0.8795180722891566,0.8798195838789467,0.8735632183908046,0.8860759493670886,0.8941176470588236,0.8837209302325582,0.9671177069693002,0.970040115073362,0.7589768841378651,0.2341869725105689,0.071525113563199,70,9,11,76,0.5,True
early_middle__svc__poly2,two_stage_raw,early_middle,False,0.8738970588235293,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",3.128202199935913,0.8795180722891566,0.8798195838789467,0.8735632183908046,0.8860759493670886,0.8941176470588236,0.8837209302325582,0.969300160046559,0.9724109480042061,0.7589768841378651,0.23702776417744303,0.07410455948489524,70,9,11,76,0.5,True
all__lr__elasticnet,three_stage_raw,all,False,0.8801470588235294,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.75}",139.34312558174133,0.8795180722891566,0.8798195838789467,0.8735632183908046,0.8860759493670886,0.8941176470588236,0.8837209302325582,0.9564964353266405,0.9641296643097174,0.7589768841378651,0.26531177978051107,0.08344644769331133,70,9,11,76,0.5,True
all__svc__linear,three_stage_raw,all,False,0.8852941176470587,"{""clf__C"": 0.1, ""clf__class_weight"": null}",1.7038755416870117,0.8795180722891566,0.8798195838789467,0.8735632183908046,0.8860759493670886,0.8941176470588236,0.8837209302325582,0.9655172413793103,0.968825227254789,0.7589768841378651,0.2365513607689401,0.07219643160506124,70,9,11,76,0.5,True
all__svc__poly2,three_stage_raw,all,False,0.8738970588235293,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",2.3182640075683594,0.8795180722891566,0.8798195838789467,0.8735632183908046,0.8860759493670886,0.8941176470588236,0.8837209302325582,0.9682816819438382,0.9716184011885856,0.7589768841378651,0.23853205109953537,0.07457634603488227,70,9,11,76,0.5,True
early_middle_scale__lr__elasticnet,sequential_scale,early_middle_scale,False,0.8801470588235294,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__l1_ratio"": 0.75}",179.86094331741333,0.8795180722891566,0.8798195838789467,0.8735632183908046,0.8860759493670886,0.8941176470588236,0.8837209302325582,0.9564964353266405,0.9640733696980682,0.7589768841378651,0.2649691539032931,0.08332725471170813,70,9,11,76,0.5,True
early_middle_scale__svc__poly2,sequential_scale,early_middle_scale,False,0.8738970588235293,"{""clf__C"": 3.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",1.9828524589538574,0.8795180722891566,0.8798195838789467,0.8735632183908046,0.8860759493670886,0.8941176470588236,0.8837209302325582,0.9665357194820311,0.9698154879251957,0.7589768841378651,0.242154479222899,0.07565962893745862,70,9,11,76,0.5,True
middle_late_scale__svc__linear,sequential_scale,middle_late_scale,False,0.8738970588235293,"{""clf__C"": 0.1, ""clf__class_weight"": null}",3.8561885356903076,0.8795180722891566,0.8798195838789467,0.8735632183908046,0.8860759493670886,0.8941176470588236,0.8837209302325582,0.9562054415830059,0.9646401381589182,0.7589768841378651,0.26497599089973123,0.08337107859221189,70,9,11,76,0.5,True
middle_late_scale__svc__poly3,sequential_scale,middle_late_scale,False,0.8507352941176471,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__coef0"": 1.0, ""clf__gamma"": ""scale""}",6.1114537715911865,0.8795180722891566,0.8798195838789467,0.8735632183908046,0.8860759493670886,0.8941176470588236,0.8837209302325582,0.9524225229157574,0.9576766260332106,0.7589768841378651,0.28199977394397513,0.09010856608264341,70,9,11,76,0.5,True
mlp_svc_late_calibrated__lr__l2,performance_corrected,all,True,0.8797794117647058,"{""class_weight"": null, ""late_C"": 0.03, ""meta_C"": 1.0}",10.505697250366211,0.8795180722891566,0.8798195838789467,0.8735632183908046,0.8860759493670886,0.8941176470588236,0.8837209302325582,0.9610068383529754,0.9517458015289526,0.7589768841378651,0.2671258573562144,0.08065404680178782,70,9,11,76,0.5,True
